 X,Y,I,J,PCT1H
   737741.,  5084095.,  5, 56,      1.116E-02
   737741.,  5084145.,  5, 57,      1.042E-02
   737741.,  5084195.,  5, 58,      9.797E-03
   737741.,  5084245.,  5, 59,      9.841E-03
   737741.,  5084295.,  5, 60,      9.006E-03
   737741.,  5084345.,  5, 61,      7.912E-03
   737741.,  5084395.,  5, 62,      7.046E-03
   737741.,  5084445.,  5, 63,      6.542E-03
   737741.,  5084495.,  5, 64,      6.288E-03
   737741.,  5084545.,  5, 65,      5.792E-03
   737741.,  5084595.,  5, 66,      5.613E-03
   737741.,  5084645.,  5, 67,      5.354E-03
   737741.,  5084695.,  5, 68,      5.108E-03
   737741.,  5084745.,  5, 69,      4.930E-03
   737741.,  5084795.,  5, 70,      4.501E-03
   737741.,  5084845.,  5, 71,      4.277E-03
   737741.,  5084895.,  5, 72,      3.942E-03
   737741.,  5084945.,  5, 73,      3.811E-03
   737741.,  5084995.,  5, 74,      3.597E-03
   737741.,  5085045.,  5, 75,      3.450E-03
   737741.,  5085095.,  5, 76,      3.171E-03
   737741.,  5085145.,  5, 77,      3.002E-03
   737741.,  5085195.,  5, 78,      2.845E-03
   737741.,  5085245.,  5, 79,      2.661E-03
   737741.,  5085295.,  5, 80,      2.496E-03
   737741.,  5085345.,  5, 81,      2.398E-03
   737741.,  5085395.,  5, 82,      2.242E-03
   737741.,  5085445.,  5, 83,      2.012E-03
   737741.,  5085495.,  5, 84,      1.826E-03
   737741.,  5085545.,  5, 85,      1.734E-03
   737741.,  5085595.,  5, 86,      1.659E-03
   737741.,  5085645.,  5, 87,      1.575E-03
   737741.,  5085695.,  5, 88,      1.482E-03
   737741.,  5085745.,  5, 89,      1.405E-03
   737741.,  5085795.,  5, 90,      1.315E-03
   737741.,  5085845.,  5, 91,      1.221E-03
   737741.,  5085895.,  5, 92,      1.118E-03
   737741.,  5085945.,  5, 93,      1.052E-03
   737741.,  5085995.,  5, 94,      9.884E-04
   737741.,  5086045.,  5, 95,      9.051E-04
   737741.,  5086095.,  5, 96,      8.580E-04
   737741.,  5086145.,  5, 97,      8.027E-04
   737741.,  5086195.,  5, 98,      7.667E-04
   737741.,  5086245.,  5, 99,      7.099E-04
   737741.,  5086295.,  5,100,      6.711E-04
   737791.,  5081345.,  6,  1,      5.975E-02
   737791.,  5081395.,  6,  2,      7.514E-02
   737791.,  5081445.,  6,  3,      8.230E-02
   737791.,  5081495.,  6,  4,      8.832E-02
   737791.,  5081545.,  6,  5,      9.450E-02
   737791.,  5081595.,  6,  6,      9.848E-02
   737791.,  5081645.,  6,  7,      9.719E-02
   737791.,  5081695.,  6,  8,      9.748E-02
   737791.,  5081745.,  6,  9,      9.649E-02
   737791.,  5081795.,  6, 10,      9.961E-02
   737791.,  5081845.,  6, 11,      9.893E-02
   737791.,  5081895.,  6, 12,      1.041E-01
   737791.,  5081945.,  6, 13,      1.085E-01
   737791.,  5081995.,  6, 14,      1.067E-01
   737791.,  5082045.,  6, 15,      1.015E-01
   737791.,  5082095.,  6, 16,      9.900E-02
   737791.,  5082145.,  6, 17,      9.821E-02
   737791.,  5082195.,  6, 18,      9.475E-02
   737791.,  5082245.,  6, 19,      9.335E-02
   737791.,  5082295.,  6, 20,      8.632E-02
   737791.,  5082345.,  6, 21,      8.482E-02
   737791.,  5082395.,  6, 22,      8.731E-02
   737791.,  5082445.,  6, 23,      9.207E-02
   737791.,  5082495.,  6, 24,      8.980E-02
   737791.,  5082545.,  6, 25,      9.054E-02
   737791.,  5082595.,  6, 26,      8.840E-02
   737791.,  5082645.,  6, 27,      8.221E-02
   737791.,  5082695.,  6, 28,      8.128E-02
   737791.,  5082745.,  6, 29,      7.906E-02
   737791.,  5082795.,  6, 30,      7.851E-02
   737791.,  5082845.,  6, 31,      7.340E-02
   737791.,  5082895.,  6, 32,      6.930E-02
   737791.,  5082945.,  6, 33,      6.556E-02
   737791.,  5082995.,  6, 34,      5.862E-02
   737791.,  5083045.,  6, 35,      4.712E-02
   737791.,  5083095.,  6, 36,      4.534E-02
   737791.,  5083145.,  6, 37,      4.027E-02
   737791.,  5083195.,  6, 38,      3.366E-02
   737791.,  5083245.,  6, 39,      3.174E-02
   737791.,  5083295.,  6, 40,      2.701E-02
   737791.,  5083345.,  6, 41,      2.764E-02
   737791.,  5083395.,  6, 42,      2.642E-02
   737791.,  5083445.,  6, 43,      2.699E-02
   737791.,  5083495.,  6, 44,      2.840E-02
   737791.,  5083545.,  6, 45,      2.586E-02
   737791.,  5083595.,  6, 46,      2.507E-02
   737791.,  5083645.,  6, 47,      2.461E-02
   737791.,  5083695.,  6, 48,      2.233E-02
   737791.,  5083745.,  6, 49,      1.962E-02
   737791.,  5083795.,  6, 50,      1.839E-02
   737791.,  5083845.,  6, 51,      1.762E-02
   737791.,  5083895.,  6, 52,      1.538E-02
   737791.,  5083945.,  6, 53,      1.438E-02
   737791.,  5083995.,  6, 54,      1.312E-02
   737791.,  5084045.,  6, 55,      1.387E-02
   737791.,  5084095.,  6, 56,      1.210E-02
